Title,Category,Course Type,Skills,course_id
Machine Learning Specialization,Data Science,Specialization,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ",machine_learning_specialization
Introduction to Data Science Specialization,Data Science,Specialization,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ",introduction_to_data_science_specialization
Data Science Fundamentals with Python and SQL Specialization,Data Science,Specialization,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ",data_science_fundamentals_with_python_and_sql_spec
Key Technologies for Business Specialization,Business,Specialization,"Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, ",key_technologies_for_business_specialization
Deep Learning Specialization,Data Science,Specialization,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ",deep_learning_specialization
IBM & Darden Digital Strategy Specialization,Data Science,Specialization,"Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ",ibm__darden_digital_strategy_specialization
IBM AI Foundations for Business Specialization,Data Science,Specialization,"Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, ",ibm_ai_foundations_for_business_specialization
Data Analysis and Visualization Foundations Specialization,Data Science,Specialization,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ",data_analysis_and_visualization_foundations_specia
Applied Data Science Specialization,Data Science,Specialization,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ",applied_data_science_specialization
Data Engineering Foundations Specialization,Information Technology,Specialization,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ",data_engineering_foundations_specialization
IT Fundamentals for Cybersecurity Specialization,Information Technology,Specialization,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ",it_fundamentals_for_cybersecurity_specialization
Applied Software Engineering Fundamentals Specialization,Computer Science,Specialization,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ",applied_software_engineering_fundamentals_speciali
"DevOps, Cloud, and Agile Foundations Specialization",Computer Science,Specialization,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, ",devops_cloud_and_agile_foundations_specialization
Cloud Application Development Foundations Specialization,Information Technology,Specialization,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ",cloud_application_development_foundations_speciali
Python for Everybody Specialization,Computer Science,Specialization,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ",python_for_everybody_specialization
Information Technology (IT) and Cloud Fundamentals Specialization,Information Technology,Specialization,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ",information_technology_it_and_cloud_fundamentals_s
"BI Foundations with SQL, ETL and Data Warehousing Specialization",Information Technology,Specialization,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ",bi_foundations_with_sql_etl_and_data_warehousing_s
Natural Language Processing Specialization,Data Science,Specialization,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ",natural_language_processing_specialization
Business Foundations Specialization,Business,Specialization,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ",business_foundations_specialization
Meta React Native Specialization,Computer Science,Specialization,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ",meta_react_native_specialization
Mathematics for Machine Learning and Data Science Specialization,Computer Science,Specialization,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ",mathematics_for_machine_learning_and_data_science_
Introduction to Finance and Accounting Specialization,Business,Specialization,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ",introduction_to_finance_and_accounting_specializat
AI Foundations for Everyone Specialization,Data Science,Specialization,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ",ai_foundations_for_everyone_specialization
Finance & Quantitative Modeling for Analysts Specialization,Business,Specialization,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ",finance__quantitative_modeling_for_analysts_specia
Machine Learning Engineering for Production (MLOps) Specialization,Data Science,Specialization,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ",machine_learning_engineering_for_production_mlops_
Business and Financial Modeling Specialization,Business,Specialization,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ",business_and_financial_modeling_specialization
