Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Skills,Job Location,Company Name
2701524240,2017-01-01,Software Engineer,Software Engineer,"['database', 'javascript', 'agile', 'linux', 'server', 'node.js', 'git', 'json', 'css', 'redis', 'java', 'aws', 'html', 'mysql', 'xml', 'sql', 'aurora', 'jquery']",United States,"Cardinal Financial Company, Limited Partnership"
2719108338,2017-01-01,Data Engineer,Senior Azure Data Engineer,"['data_lake', 'cloud', 'python', 'spark', 'github', 'warehousing', 't-sql', 'ci/cd', 'sql', 'apache', 'azure', 'scala', 'coding']",United States,Brinks Home
2719503370,2017-01-01,Software Engineer,Software Engineer I,"['mongo', 'oracle', 'microsoft', 'css', 'javascript', 'html', 'agile', 'mysql', 'coding', 'programming', 'hadoop', 'asp.net', 'sql', 'nosql', 'node', 'js', 'c']",United States,Paycor
2734877741,2017-01-01,Business Analyst,Associate Business Analyst,"['agile', 'excel']","Phoenix, AZ",Optum
2752415616,2017-01-01,Developer,Swift Developer,"['excel', 'back-end', 'ios', 'swift', 'programming']","Richmond, CA",Toptal
2697854773,2017-01-01,Data Engineer,Aws Data Engineer,"['data_lake', 'cloud', 'data_lakes', 'python', 'hadoop', 'devops', 'spark', 'iot', 'aws', 'pyspark', 'redshift', 'etl', 'sql', 'nosql', 'machine_learning']","Los Angeles, CA",ClearScale
2723260660,2017-01-01,Software Developer,Software Developer (Node.Js,"['database', 'pl/sql', 'cloud', 'javascript', 'agile', 'node.js', 'git', 'scrum', 'json', 'programming', 'devops', 'microsoft', 'java', 'xml', 'nosql', 'kanban', 'go', 'azure']","Rochester, NY",Ellucian
2628572485,2017-01-01,Data Analyst,Healthcare Payer Data Analyst,"['data_lake', 'database', 'python', 'hadoop', 'ibm', 'oracle', 'microsoft', 'sql']","Charleston, SC",Perficient
2748225724,2017-01-01,Data Engineer,Senior Data Engineer,"['python', 'programming', 'etl', 'postgresql', 'linux', 'sql', 'nosql', 'go']","Baltimore, MD",Medix Technology
2681258907,2017-01-02,Business Intelligence Analyst,Jr. Business Intelligence Analyst,"['r', 'scala', 'powershell', 'c++', 'java', 'python', 'tableau', 'sql', 'powerbi', 'c']","Raleigh, NC",OnDemand Agility Solutions
2589582484,2017-01-02,Software Engineer,Software Engineer,"['cloud', 'programming', 'microsoft', 'aws', 'go', 'azure']","Santa Ana, CA",HashiCorp
2739219836,2017-01-02,Ux Researcher,"Senior Ux Researcher, Contract",['outlook'],"California, United States",Left Field Labs
2511464962,2017-01-02,Software Development Engineer,"Senior Software Development Engineer In Test, Data Security","['ci/cd', 'cloud', 'python', 'programming', 'linux', 'docker']","San Diego, CA",Netskope
2698913189,2017-01-02,Data Scientist,Data Scientist,"['cloud', 'power_bi', 'python', 'gcp', 'programming', 'aws', 'sql', 'azure']",United States,Nutrien Ag Solutions
2738379210,2017-01-02,Ux Researcher,Ux Researcher,['excel'],"Bellevue, WA",Toptal
2669926024,2017-01-02,Senior Analyst,"Senior Analyst, Sales Incentive Compensation",['excel'],United States,Cue Health
2703680779,2017-01-02,Software Engineer,Lead Software Engineer,"['database', 'javascript', 'linux', 'server', 'c', 'oracle', 'aws', 'mysql', 'postgresql', 'sql', 'machine_learning']","San Francisco, CA",Verikai
2592607638,2017-01-03,Data Analyst,Senior Business Data Analyst,"['sap', 'bi', 'ibm', 'saas', 'github', 'redshift', 'tableau', 'sql', 'atlassian', 'powerbi']",United States,Tactivos Inc.
2711762756,2017-01-03,Business Analyst,Technical Business Analyst,"['cloud', 'power_bi', 'agile', 'bi', 'tableau', 'etl', 'sql']",Greater Philadelphia,"Datasource Consulting, an EXL company"
2690940101,2017-01-03,Data Scientist,Data Scientist,[],"Hillsboro, OR",Toptal
2710371869,2017-01-03,Business Analyst,Business Analyst,[],"Jacksonville, FL",Kforce Inc
