Branch,Percentage_10th,Percentage_12th,Career_Goal,Course Type,Skills,Category,Title
MCA,75,65,web developer,Course,job portfoliodata cleansingdata analysisdata visualization datavizcase study,Data Science,Google Data Analytics Capstone: Complete a Case Study
CSIT,85,75,web developer,Course,wellbeingimproved symptom managementwholeperson caremindfulnessintegrative medicine,Health,Mindfulness in Integrative Healthcare
MCA,75,65,web developer,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,Web Design for Everybody: Basics of Web Development & Coding Specialization
CSIT,85,95,data scientist,Course,data scienceethicsalgorithmsprivacyphilosophy,Data Science,Ethical Issues in Data Science
CSME,85,75,automation engineer,Specialization,programming principles python programming java programming data structure computer programming python tools python syntax and semantics data science python libraries data analysis data visualization dataviz java tools,Computer Science,Introduction to Programming with Python and Java Specialization
CS,85,85,ai engineer,Course,python programmingmachine learning conceptsmachine learningdeep learning,Data Science,Machine Learning Foundations: A Case Study Approach
IT,85,75,web developer,Course,spreadsheetdata analysissqldata calculationsdata aggregation,Data Science,Analyze Data to Answer Questions
IT,75,85,software engineer,Course,decision treeensemble learningclassification algorithmssupervised learningmachine learning ml algorithms,Data Science, Supervised Machine Learning: Classification
CSAI,85,85,robotics engineer,Specialization,biology molecular biology dynamical systems matlab,Health,Systems Biology and Biotechnology Specialization
ECE,85,85,vlsi engineer,Course,python programmingactive defense,Information Technology,Python for Active Defense
ECE,85,85,vlsi engineer,Course,animalanimal behaviorveterinarydog,Health,Animal Behaviour and Welfare
CS,85,95,software engineer,Specialization,data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,Data Science,Introduction to Data Science Specialization
CS,75,85,data scientist,Course,data sciencegithubr programmingrstudio,Data Science,The Data Scientist’s Toolbox
CSIT,85,75,web developer,Course,statisticslinear regressionr programminglinear algebra,Data Science,Advanced Linear Models for Data Science 1: Least Squares
CSIT,85,75,software engineer,Course,data clustering algorithmsdata analysisnatural language processingdata mining,Data Science,Data Mining Project
CS,75,85,data scientist,Specialization,data analysis microsoft excel data visualization dataviz data cleansing big data power bi,Business,Excel Skills for Data Analytics and Visualization Specialization
ECE,75,75,iot developer,Specialization,software development process algorithms software engineering c programming computer programming programming language concepts problem solving compiler debugging,Computer Science,Introductory C Programming Specialization
