Branch,Percentage_10th,Percentage_12th,Course Type,Skills,Category,Skills_Count,Academic_Score
MCA,75,65,Course,job portfoliodata cleansingdata analysisdata visualization datavizcase study,Data Science,7,69.0
CSIT,85,75,Course,wellbeingimproved symptom managementwholeperson caremindfulnessintegrative medicine,Health,5,79.0
MCA,75,65,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,25,69.0
CSIT,85,95,Course,data scienceethicsalgorithmsprivacyphilosophy,Data Science,2,91.0
CS,85,85,Course,python programmingmachine learning conceptsmachine learningdeep learning,Data Science,6,85.0
IT,85,75,Course,spreadsheetdata analysissqldata calculationsdata aggregation,Data Science,4,79.0
IT,75,85,Course,decision treeensemble learningclassification algorithmssupervised learningmachine learning ml algorithms,Data Science,8,81.0
ECE,85,85,Course,python programmingactive defense,Information Technology,3,85.0
ECE,85,85,Course,animalanimal behaviorveterinarydog,Health,2,85.0
CS,85,95,Specialization,data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,Data Science,24,91.0
CS,75,85,Course,data sciencegithubr programmingrstudio,Data Science,3,81.0
CSIT,85,75,Course,statisticslinear regressionr programminglinear algebra,Data Science,4,79.0
CSIT,85,75,Course,data clustering algorithmsdata analysisnatural language processingdata mining,Data Science,7,79.0
CS,75,85,Specialization,data analysis microsoft excel data visualization dataviz data cleansing big data power bi,Business,13,81.0
ECE,75,75,Specialization,software development process algorithms software engineering c programming computer programming programming language concepts problem solving compiler debugging,Computer Science,17,75.0
CSIT,85,85,Course,django template languageget postobjectoriented programming oopcrosssite scripting forgery csrfdjango web framework,Computer Science,11,85.0
ECE,85,85,Project,cloud platformscloud storagegoogle cloud platform,Information Technology,5,85.0
ECE,75,75,Course,predictive modellingpython programmingdata analysisdata visualization datavizmodel selection,Data Science,7,75.0
IT,85,85,Course,tensorflowbigquerygoogle cloud platformcloud computing,Data Science,4,85.0
CSIT,85,85,Course,web development toolsuser interfacefrontend web developmenthtml and cssresponsive web design,Computer Science,10,85.0
ECE,85,75,Course,data sciencemachine learningr programmingnatural language processing,Data Science,6,79.0
CSIT,85,95,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,16,91.0
